soc_id,EA001,EA002,EA003,EA004,EA005,EA006,EA007,EA008,EA009,EA010,EA011,EA012,EA013,EA014,EA015,EA016,EA017,EA018,EA019,EA020,EA021,EA022,EA023,EA024,EA025,EA026,EA027,EA028,EA029,EA030,EA032,EA033,EA037,EA039,EA040,EA041,EA042,EA043,EA044,EA051,EA054,EA055,EA062,EA065,EA066,EA067,EA068,EA069,EA070,EA071,EA072,EA073,EA076,EA079,EA080,EA081,EA082,EA083,EA201,EA202,AnnualMeanTemperature,MonthlyMeanPrecipitation,PrecipitationConstancy,PrecipitationPredictability,TemperatureConstancy,TemperaturePredictability
Aa1,8.0,2.0,0.0,0.0,0.0,2.0,8.0,7.0,2.0,9.0,2.0,2.0,9.0,11.0,4.0,9.0,1.0,1.0,1.0,1.0,2.0,9.0,7.0,8.0,15.0,9.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,9.0,10.0,9.0,10.0,1.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,11.0,2.0,8.0,1.0,3500.0,21.03514971,87000.00141,0.202518052,0.478079126,0.457627142,0.663742143
Aa2,4.0,6.0,0.0,0.0,0.0,1.0,8.0,1.0,1.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,8.0,7.0,15.0,9.0,6.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,3.0,1.0,9.0,1.0,9.0,10.0,9.0,10.0,1.0,9.0,1.0,9.0,1.0,1.0,7.0,5.0,5.0,2.0,2.0,11.0,2.0,8.0,2.0,1100.0,19.01419744,50566.30196,0.439799429,0.586995285,0.667196458,0.760966326
Aa3,1.0,3.0,1.0,5.0,0.0,4.0,1.0,2.0,2.0,9.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,1.0,3.0,15.0,9.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,7.0,2.0,4.0,1.0,1.0,1.0,9.0,9.0,9.0,10.0,2.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,11.0,2.0,7.0,1.0,2500.0,20.43585493,39669.85532,0.304052477,0.463783746,0.427581091,0.642685402
Aa4,4.0,3.0,1.0,2.0,0.0,2.0,8.0,4.0,4.0,9.0,2.0,12.0,3.0,9.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,10.0,1.0,15.0,9.0,2.0,,,,,,,,,,1.0,6.0,,,,,,,1.0,9.0,1.0,9.0,2.0,3.0,1.0,1.0,7.0,2.0,2.0,11.0,3.0,8.0,1.0,29000.0,22.66307586,42805.12609,0.194715686,0.401874426,0.493361188,0.645390877
Aa5,3.0,7.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,12.0,2.0,12.0,3.0,9.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,12.0,5.0,15.0,9.0,4.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,3.0,6.0,9.0,2.0,9.0,10.0,9.0,10.0,1.0,9.0,1.0,9.0,1.0,1.0,9.0,9.0,7.0,2.0,2.0,11.0,2.0,8.0,2.0,40000.0,21.41779959,243307.949,0.673788882,0.787907614,0.769289305,0.813877594
Aa6,1.0,1.0,1.0,2.0,5.0,1.0,8.0,2.0,2.0,2.0,1.0,8.0,9.0,11.0,6.0,1.0,3.0,3.0,1.0,1.0,9.0,9.0,6.0,4.0,5.0,2.0,8.0,3.0,6.0,5.0,2.0,2.0,5.0,1.0,7.0,2.0,6.0,1.0,,1.0,5.0,,9.0,9.0,1.0,9.0,1.0,9.0,1.0,1.0,,,7.0,2.0,2.0,11.0,2.0,8.0,1.0,23400.0,18.1173012,89122.08238,0.527294965,0.716083454,0.567936552,0.741558693
Aa7,7.0,3.0,0.0,0.0,0.0,3.0,8.0,2.0,2.0,2.0,2.0,12.0,3.0,9.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,8.0,7.0,15.0,9.0,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,9.0,10.0,9.0,10.0,1.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,11.0,5.0,8.0,1.0,300.0,21.93601527,82529.79572,0.198675452,0.476634963,0.463878982,0.66925516
Aa8,5.0,4.0,1.0,0.0,0.0,2.0,8.0,2.0,2.0,9.0,2.0,2.0,9.0,11.0,,,1.0,1.0,1.0,1.0,1.0,9.0,10.0,1.0,15.0,9.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,9.0,10.0,,10.0,1.0,9.0,1.0,9.0,1.0,1.0,,,,1.0,2.0,11.0,5.0,7.0,1.0,,15.6037793,71156.45282,0.419281015,0.571137119,0.404775228,0.65806765
Aa9,6.0,4.0,0.0,0.0,0.0,1.0,8.0,7.0,2.0,2.0,2.0,2.0,9.0,11.0,3.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,,,,,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,1.0,9.0,10.0,9.0,10.0,1.0,9.0,1.0,9.0,1.0,1.0,4.0,5.0,6.0,2.0,2.0,11.0,2.0,8.0,2.0,600.0,19.36364443,85676.00215,0.422897218,0.656401921,0.611325684,0.739942831
Ab1,1.0,3.0,0.0,6.0,0.0,1.0,8.0,7.0,5.0,10.0,1.0,10.0,9.0,1.0,4.0,9.0,5.0,4.0,4.0,4.0,9.0,9.0,1.0,3.0,3.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,10.0,1.0,7.0,2.0,4.0,2.0,1.0,1.0,9.0,3.0,9.0,10.0,2.0,9.0,1.0,9.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,11.0,3.0,2.0,2.0,100000.0,21.9947192,52226.41738,0.19086375,0.424335365,0.503781382,0.653693895
Ab10,0.0,0.0,0.0,5.0,5.0,1.0,8.0,7.0,5.0,8.0,1.0,8.0,9.0,11.0,4.0,9.0,4.0,4.0,1.0,1.0,9.0,9.0,8.0,7.0,15.0,9.0,5.0,5.0,6.0,5.0,3.0,3.0,1.0,2.0,7.0,2.0,8.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,2.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,11.0,3.0,8.0,2.0,260000.0,19.17895521,128040.8127,0.536729132,0.667812243,0.539291095,0.753743769
Ab11,1.0,1.0,0.0,3.0,5.0,1.0,8.0,5.0,5.0,8.0,1.0,8.0,9.0,11.0,3.0,9.0,4.0,4.0,1.0,1.0,9.0,9.0,8.0,7.0,15.0,9.0,5.0,3.0,5.0,5.0,3.0,4.0,7.0,2.0,7.0,2.0,6.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,11.0,3.0,8.0,2.0,,17.09562177,96541.61735,0.574736873,0.691797673,0.510696844,0.73906663
Ab12,0.0,1.0,0.0,4.0,5.0,1.0,8.0,7.0,5.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,4.0,1.0,1.0,9.0,9.0,7.0,8.0,15.0,9.0,5.0,3.0,6.0,5.0,3.0,4.0,1.0,1.0,7.0,2.0,6.0,1.0,1.0,1.0,5.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,11.0,3.0,8.0,2.0,250000.0,16.45028857,165893.6429,0.520459959,0.674294506,0.518984237,0.737019768
Ab13,0.0,1.0,0.0,4.0,5.0,1.0,8.0,4.0,4.0,9.0,1.0,8.0,9.0,11.0,2.0,9.0,1.0,1.0,1.0,1.0,6.0,9.0,10.0,1.0,8.0,1.0,5.0,3.0,6.0,8.0,3.0,3.0,7.0,1.0,7.0,2.0,6.0,4.0,1.0,1.0,5.0,3.0,9.0,9.0,3.0,4.0,3.0,9.0,1.0,1.0,1.0,1.0,7.0,2.0,2.0,9.0,4.0,8.0,1.0,580000.0,18.42354332,78320.73565,0.367456803,0.56300904,0.47333562,0.673123537
Ab14,1.0,0.0,0.0,3.0,6.0,1.0,8.0,5.0,5.0,8.0,1.0,8.0,9.0,11.0,6.0,1.0,4.0,3.0,1.0,1.0,9.0,9.0,1.0,3.0,2.0,2.0,5.0,5.0,6.0,6.0,3.0,3.0,6.0,2.0,7.0,2.0,7.0,1.0,1.0,1.0,3.0,3.0,9.0,9.0,4.0,9.0,1.0,9.0,1.0,1.0,,,6.0,2.0,2.0,,4.0,8.0,2.0,40000.0,17.61973153,99002.3787,0.423215475,0.610223687,0.49887731,0.71092827
