soc_id,EA033,EA066,EA030,EA028,EA039,complexity_score
Aa1,1.0,1.0,1.0,1.0,1.0,-2.28446569733846
Aa2,1.0,1.0,1.0,1.0,1.0,-2.28446569733846
Aa3,2.0,2.0,1.0,1.0,1.0,-1.5229050670460025
Aa5,1.0,1.0,1.0,1.0,1.0,-2.28446569733846
Aa6,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Aa7,1.0,1.0,1.0,1.0,1.0,-2.28446569733846
Aa8,1.0,1.0,1.0,1.0,1.0,-2.28446569733846
Aa9,1.0,1.0,1.0,1.0,1.0,-2.28446569733846
Ab1,1.0,2.0,1.0,1.0,1.0,-1.9645107108888697
Ab10,3.0,2.0,5.0,5.0,2.0,1.3737391808967077
Ab11,4.0,4.0,5.0,3.0,2.0,1.8815969878684677
Ab12,4.0,4.0,5.0,3.0,1.0,1.2239429758445586
Ab13,3.0,3.0,8.0,3.0,1.0,0.9499340749536197
Ab14,3.0,4.0,6.0,5.0,2.0,2.1761663969297276
Ab15,3.0,2.0,7.0,3.0,1.0,0.46746184537019
Ab19,3.0,4.0,5.0,3.0,1.0,0.7823373320016912
Ab2,4.0,4.0,6.0,3.0,2.0,2.044114231002307
Ab21a,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ab3,4.0,4.0,3.0,5.0,1.0,1.472566299347167
Ab4,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ab5,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ab6,3.0,4.0,7.0,5.0,1.0,1.6810296280396582
Ab7,3.0,4.0,6.0,3.0,1.0,0.9448545751355307
Ab8,4.0,4.0,6.0,5.0,2.0,2.6177720407725946
Ab9,4.0,3.0,8.0,3.0,1.0,1.3915397187964873
Ac1,2.0,2.0,3.0,3.0,1.0,-0.6242127710080357
Ac10,3.0,1.0,7.0,3.0,1.0,0.14750685892059978
Ac11,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ac12,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ac13,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ac14,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ac17,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Ac2,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ac21,3.0,4.0,5.0,3.0,1.0,0.7823373320016912
Ac23,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ac24,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ac25,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ac26,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Ac27,2.0,1.0,4.0,3.0,1.0,-0.7816505143237864
Ac3,3.0,4.0,4.0,3.0,1.0,0.6198200888678516
Ac30,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ac31,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ac32,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ac33,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ac34,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ac36,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ac37,3.0,1.0,7.0,3.0,1.0,0.14750685892059978
Ac38,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ac4,3.0,4.0,4.0,3.0,1.0,0.6198200888678516
Ac40,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ac41,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ac5,3.0,1.0,7.0,3.0,1.0,0.14750685892059978
Ac7,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Ac8,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ac9,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Ad1,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ad10,3.0,4.0,7.0,5.0,1.0,1.6810296280396582
Ad11,3.0,4.0,7.0,6.0,1.0,1.9678585329248022
Ad12,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ad13,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ad14,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ad15,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ad16,3.0,4.0,7.0,5.0,1.0,1.6810296280396582
Ad17,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ad19,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ad2,4.0,4.0,5.0,5.0,1.0,1.7976007856148464
Ad20,3.0,4.0,6.0,3.0,1.0,0.9448545751355307
Ad21,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ad22,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ad23,3.0,4.0,7.0,6.0,1.0,1.9678585329248022
Ad24,2.0,4.0,5.0,3.0,1.0,0.3407316881588238
Ad25,2.0,1.0,5.0,3.0,1.0,-0.6191332711899468
Ad26,1.0,1.0,5.0,5.0,1.0,-0.48708110526252635
Ad27,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ad28,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ad29,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Ad3,2.0,4.0,5.0,6.0,1.0,1.2012184028142556
Ad32,4.0,1.0,7.0,3.0,1.0,0.5891125027634672
Ad33,2.0,1.0,7.0,6.0,1.0,0.566387929733164
Ad35,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ad36,1.0,4.0,5.0,5.0,1.0,0.47278385408624424
Ad37,2.0,1.0,5.0,5.0,1.0,-0.04547546141965905
Ad38,1.0,1.0,6.0,5.0,1.0,-0.3245638621286868
Ad39,1.0,3.0,7.0,6.0,1.0,0.7646922587894771
Ad4,1.0,2.0,7.0,5.0,1.0,0.15790836745474301
Ad41,1.0,2.0,5.0,3.0,1.0,-0.7407839285832238
Ad42,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ad43,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ad44,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ad45,4.0,3.0,5.0,3.0,1.0,0.9039879893949684
Ad46,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ad47,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ad48,4.0,4.0,5.0,3.0,1.0,1.2239429758445586
Ad49,4.0,4.0,5.0,3.0,1.0,1.2239429758445586
Ad50,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ad51,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ad6,3.0,1.0,7.0,5.0,1.0,0.7211646686908875
Ad7,4.0,4.0,7.0,5.0,1.0,2.122635271882525
Ad8,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ad9,2.0,2.0,5.0,3.0,1.0,-0.29917828474035657
Ae1,1.0,1.0,6.0,3.0,1.0,-0.8982216718989745
Ae10,4.0,5.0,5.0,5.0,1.0,2.1175557720644367
Ae11,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ae12,3.0,2.0,7.0,3.0,1.0,0.46746184537019
Ae14,3.0,4.0,5.0,5.0,1.0,1.355995141771979
Ae15,3.0,5.0,7.0,5.0,1.0,2.0009846144892482
Ae17,2.0,1.0,8.0,3.0,1.0,-0.13158154178842796
Ae18,1.0,2.0,8.0,3.0,1.0,-0.25323219918170514
Ae2,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ae20,2.0,2.0,6.0,3.0,1.0,-0.13666104160651696
Ae21,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae22,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ae26,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ae28,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Ae29,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ae3,1.0,2.0,7.0,3.0,1.0,-0.41574944231554467
Ae30,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae31,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae32,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae33,3.0,1.0,7.0,3.0,1.0,0.14750685892059978
Ae34,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ae35,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae36,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae38,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae39,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ae4,3.0,1.0,6.0,3.0,1.0,-0.015010384213239808
Ae41,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae42,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae43,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae44,5.0,4.0,7.0,3.0,1.0,1.9905831059551056
Ae45,1.0,1.0,7.0,3.0,1.0,-0.7357044287651349
Ae47,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Ae48,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ae5,3.0,4.0,6.0,3.0,1.0,0.9448545751355307
Ae50,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Ae51,1.0,1.0,5.0,3.0,1.0,-1.060738915032814
Ae56,3.0,4.0,7.0,3.0,1.0,1.1073718182693704
Ae58,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Ae6,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Ae7,3.0,1.0,6.0,3.0,1.0,-0.015010384213239808
Ae8,4.0,5.0,5.0,5.0,1.0,2.1175557720644367
Ae9,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Af1,4.0,4.0,7.0,3.0,1.0,1.5489774621122376
Af10,2.0,1.0,6.0,3.0,1.0,-0.4566160280561072
Af11,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Af13,2.0,4.0,7.0,3.0,1.0,0.665766174426503
Af15,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
Af16,2.0,1.0,7.0,3.0,1.0,-0.29409878492226754
Af19,2.0,2.0,7.0,3.0,1.0,0.02585620152732262
